x	y	y'	y''
0	-1.000	3.000	0.000
0.2	-0.411	2.842	-1.558
0.4	0.117	2.393	-2.869
0.6	0.532	1.725	-3.728
0.8	0.800	0.942	-3.998
1	0.909	0.168	-3.637
1.2	0.875	-0.475	-2.702
1.4	0.735	-0.884	-1.340
1.6	0.542	-0.997	0.233
1.8	0.357	-0.794	1.770
2	0.243	-0.307	3.027
2.2	0.248	0.385	3.806
2.4	0.404	1.175	3.985
2.6	0.717	1.937	3.534
2.8	1.169	2.551	2.525
3	1.721	2.920	1.118
3.2	2.317	2.986	-0.466
3.4	2.894	2.739	-1.976
3.6	3.394	2.217	-3.175
3.8	3.768	1.503	-3.872
4	3.989	0.709	-3.957
4.2	4.055	-0.039	-3.418
